x,y
46.0341,54.4755
68.4439,50.2121
59.2273,43.1959
86.3338,37.5683
94.6074,83.1996
12.4882,66.9088
44.2946,37.608
89.0225,67.4215
4.17493,18.4393
30.9214,91.0642
77.6116,87.9238
84.5698,49.5285
27.018,16.2664
16.895,59.2395
1.42216,11.5299
88.3694,34.959
18.1097,87.1426
12.8391,22.6691
26.4992,82.7723
57.4816,12.3112
32.3893,4.13831
85.8516,21.0669
10.6418,97.3876
97.2686,87.759
84.5241,23.6518
65.5904,68.9749
99.704,49.4675
30.5338,77.6482
71.1722,18.5827
44.6669,54.564
31.0892,20.9021
29.1726,13.5716
55.7604,24.0608
41.5418,50.9903
99.8077,83.3583
8.29798,59.9506
15.7323,95.6297
25.898,40.2081
86.9381,12.6865
82.8974,44.1084
52.3301,79.9585
6.54622,49.2996
50.6912,15.9246
86.9472,98.8433
62.8529,98.0529
81.814,99.3072
79.8944,70.7236
55.089,17.5146
75.4143,40.9436
52.4277,66.5548
10.0223,77.2973
66.747,21.6285
46.2233,77.8985
96.9176,56.4806
1.71209,22.8858
52.7665,40.8918
19.3426,77.1264
9.48515,89.9747
81.7682,58.7146
64.5711,5.81378
48.9578,38.9691
0.427259,2.17902
46.6872,89.4314
5.78631,52.7787
84.1273,41.6181
58.9984,53.8499
28.6691,75.0664
26.3955,41.6059
16.0741,99.3194
78.8079,55.1653
24.1371,45.4939
79.3664,85.6563
87.933,33.0515
45.7198,2.05084
84.7621,27.3659
39.7992,94.3937
67.0125,53.7614
88.2351,25.0252
70.9433,83.5932
86.5658,28.4616
79.5831,58.0493
90.3806,50.5081
67.8701,65.2669
46.4553,67.2689
8.12098,36.375
67.1102,74.6635
64.0034,76.1345
0.802637,89.0683
51.0819,93.759
2.18207,49.7208
92.111,49.5437
54.6464,63.5212
45.1674,82.9859
48.5702,82.8089
32.7677,37.9009
68.3493,56.798
50.087,50.3159
91.3205,47.2701
80.3858,14.6184
51.7533,49.1317
