x,y
50,50
50.087,50.3159
79.039,53.3408
68.4439,50.2121
79.039,53.3408
59.2273,43.1959
79.039,53.3408
86.3338,37.5683
79.039,53.3408
94.6074,83.1996
79.039,53.3408
89.0225,67.4215
79.039,53.3408
77.6116,87.9238
79.039,53.3408
84.5698,49.5285
79.039,53.3408
88.3694,34.959
79.039,53.3408
85.8516,21.0669
79.039,53.3408
97.2686,87.759
79.039,53.3408
84.5241,23.6518
79.039,53.3408
65.5904,68.9749
79.039,53.3408
99.704,49.4675
79.039,53.3408
71.1722,18.5827
79.039,53.3408
99.8077,83.3583
79.039,53.3408
86.9381,12.6865
79.039,53.3408
82.8974,44.1084
79.039,53.3408
86.9472,98.8433
79.039,53.3408
81.814,99.3072
79.039,53.3408
79.8944,70.7236
79.039,53.3408
75.4143,40.9436
79.039,53.3408
66.747,21.6285
79.039,53.3408
96.9176,56.4806
79.039,53.3408
81.7682,58.7146
79.039,53.3408
84.1273,41.6181
79.039,53.3408
58.9984,53.8499
79.039,53.3408
78.8079,55.1653
79.039,53.3408
79.3664,85.6563
79.039,53.3408
87.933,33.0515
79.039,53.3408
84.7621,27.3659
79.039,53.3408
67.0125,53.7614
79.039,53.3408
88.2351,25.0252
79.039,53.3408
70.9433,83.5932
79.039,53.3408
86.5658,28.4616
79.039,53.3408
79.5831,58.0493
79.039,53.3408
90.3806,50.5081
79.039,53.3408
67.8701,65.2669
79.039,53.3408
67.1102,74.6635
79.039,53.3408
64.0034,76.1345
79.039,53.3408
92.111,49.5437
79.039,53.3408
54.6464,63.5212
79.039,53.3408
68.3493,56.798
79.039,53.3408
91.3205,47.2701
79.039,53.3408
80.3858,14.6184
79.039,53.3408
51.7533,49.1317
79.039,53.3408
52.7665,40.8918
29.2205,27.1148
44.2946,37.608
29.2205,27.1148
4.17493,18.4393
29.2205,27.1148
27.018,16.2664
29.2205,27.1148
1.42216,11.5299
29.2205,27.1148
12.8391,22.6691
29.2205,27.1148
57.4816,12.3112
29.2205,27.1148
32.3893,4.13831
29.2205,27.1148
31.0892,20.9021
29.2205,27.1148
29.1726,13.5716
29.2205,27.1148
55.7604,24.0608
29.2205,27.1148
41.5418,50.9903
29.2205,27.1148
25.898,40.2081
29.2205,27.1148
6.54622,49.2996
29.2205,27.1148
50.6912,15.9246
29.2205,27.1148
55.089,17.5146
29.2205,27.1148
1.71209,22.8858
29.2205,27.1148
64.5711,5.81378
29.2205,27.1148
48.9578,38.9691
29.2205,27.1148
0.427259,2.17902
29.2205,27.1148
5.78631,52.7787
29.2205,27.1148
26.3955,41.6059
29.2205,27.1148
24.1371,45.4939
29.2205,27.1148
45.7198,2.05084
29.2205,27.1148
8.12098,36.375
29.2205,27.1148
2.18207,49.7208
29.2205,27.1148
32.7677,37.9009
29.2205,27.1148
44.6669,54.564
30.993,80.287
46.0341,54.4755
30.993,80.287
12.4882,66.9088
30.993,80.287
30.9214,91.0642
30.993,80.287
16.895,59.2395
30.993,80.287
18.1097,87.1426
30.993,80.287
26.4992,82.7723
30.993,80.287
10.6418,97.3876
30.993,80.287
30.5338,77.6482
30.993,80.287
8.29798,59.9506
30.993,80.287
15.7323,95.6297
30.993,80.287
52.3301,79.9585
30.993,80.287
62.8529,98.0529
30.993,80.287
52.4277,66.5548
30.993,80.287
10.0223,77.2973
30.993,80.287
46.2233,77.8985
30.993,80.287
19.3426,77.1264
30.993,80.287
9.48515,89.9747
30.993,80.287
46.6872,89.4314
30.993,80.287
28.6691,75.0664
30.993,80.287
16.0741,99.3194
30.993,80.287
39.7992,94.3937
30.993,80.287
46.4553,67.2689
30.993,80.287
0.802637,89.0683
30.993,80.287
51.0819,93.759
30.993,80.287
45.1674,82.9859
30.993,80.287
48.5702,82.8089
30.993,80.287
50,50
